n,heapsort.ticks
150000,13245075
180000,16151730
210000,19064970
240000,21995920
270000,24959145
300000,27986210
330000,31028180
360000,34084295
390000,37151655
420000,40239250
450000,43330490
480000,46405150
510000,49506120
540000,52626490
570000,55799295
600000,58974250
630000,62156480
660000,65362655
690000,68552440
720000,71785035
750000,74987300
780000,78210950
810000,81433410
840000,84668525
870000,87896450
900000,91127960
930000,94361010
960000,97624065
990000,100859250
1020000,104095020
1050000,107346840
1080000,110667115
1110000,113974940
1140000,117307875
1170000,120648195
1200000,123968785
1230000,127292780
1260000,130623260
1290000,133965435
1320000,137319730
1350000,140681760
1380000,144030415
1410000,147366730
1440000,150756995
1470000,154093120
