n,heapsort.time
150000,149
180000,188
210000,250
240000,297
270000,335
300000,422
330000,453
360000,515
390000,578
420000,610
450000,697
480000,907
510000,968
540000,1047
570000,1119
600000,1203
630000,1282
660000,1383
690000,1422
720000,1517
750000,1607
780000,1680
810000,1762
840000,1891
870000,1938
900000,2054
930000,2126
960000,2234
990000,2344
1020000,2404
1050000,2532
1080000,2634
1110000,2729
1140000,2859
1170000,2922
1200000,3052
1230000,3073
1260000,3307
1290000,3305
1320000,3454
1350000,3532
1380000,3700
1410000,3770
1440000,3896
1470000,4231
