n,sortusingbst.ticks
100,2864
200,7948
300,10684
400,15568
500,22048
600,25000
700,33392
800,35172
900,44492
1000,49584
1100,52180
1200,59420
1300,62284
1400,76340
1500,80656
1600,80660
1700,84456
1800,98312
1900,111740
2000,102564
2100,112528
2200,116276
2300,114616
2400,136200
2500,131960
2600,146724
2700,149668
2800,154912
2900,164776
3000,170436
3100,168784
3200,181460
3300,192456
3400,181908
3500,196836
3600,211748
3700,202880
3800,208952
3900,244988
4000,237192
4100,252496
4200,251168
4300,242768
4400,260740
4500,270256
4600,287472
4700,279472
4800,298800
4900,302556
5000,315552
5100,319824
5200,304920
5300,321856
5400,316280
5500,338256
5600,367208
5700,357484
5800,378564
5900,353292
6000,345684
6100,382976
6200,379628
6300,431204
6400,393604
6500,386984
6600,401644
6700,446900
6800,413040
6900,417788
7000,443612
7100,477620
7200,446896
7300,463972
7400,475340
7500,486180
7600,467728
7700,490236
7800,488968
7900,488208
8000,514265
8100,513116
8200,520856
8300,560584
8400,605372
8500,555196
8600,550900
8700,556544
8800,576620
8900,551620
9000,599128
9100,665248
9200,626296
9300,592264
9400,597484
9500,612272
9600,625668
9700,634332
9800,618088
9900,611672
