n,sortusingunorderedlist.time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,1
900,1
1000,2
1100,1
1200,1
1300,2
1400,2
1500,3
1600,3
1700,4
1800,4
1900,4
2000,5
2100,5
2200,6
2300,6
2400,7
2500,7
2600,8
2700,9
2800,9
2900,10
3000,11
3100,11
3200,12
3300,13
3400,14
3500,14
3600,14
3700,15
3800,16
3900,18
4000,18
4100,20
4200,20
4300,21
4400,22
4500,24
4600,25
4700,25
4800,27
4900,28
5000,29
5100,30
5200,31
5300,33
5400,34
5500,36
5600,38
5700,38
5800,40
5900,40
6000,42
6100,45
6200,44
6300,44
6400,45
6500,50
6600,52
6700,54
6800,58
6900,56
7000,59
7100,64
7200,62
7300,66
7400,66
7500,64
7600,70
7700,74
7800,74
7900,73
8000,79
8100,79
8200,80
8300,82
8400,82
8500,88
8600,92
8700,91
8800,98
8900,101
9000,103
9100,101
9200,101
9300,104
9400,107
9500,110
9600,111
9700,117
9800,114
9900,122
