Color Values,Point Values
-1686633,1428493087
-129347,1538738221
-6896725,-554699699
-137500,-292540738
-7628494,984159752
-11120385,1465256043
-13633921,-1621811068
-8613285,-523012848
-12567002,1908625762
-5352084,1410464954
-15652085,-545503033
-2089028,109021644
-6425607,954673226
-4291434,-1159029616
-13447785,-130880423
-3081254,506016045
-5102639,-864621327
-1775759,760002063
-15492203,-1384988523
-2328494,461456845
-5010202,-333122808
-7040939,1961805608
-1743768,-737949720
-14795701,-785255061
-12043197,-421556746
-15464542,461581308
-7546725,-1591730869
-11957950,1596916641
-10743930,-1682491205
-2261264,-532585320
-1373569,428130470
-5079759,-196069517
-12502140,-714556798
-177631,-156066853
-3848116,489991981
-6177757,1641200181
-13299495,991426981
-14760331,479982144
-13263260,918083039
-8421164,1597339252
-3287093,1948231563
-9741604,-534358510
-14740388,-121498292
-4999178,-13301271
-14541646,-1139071691
-11753402,795433611
-2807139,89742295
-11016912,-1206273143
-4202237,1133468461
-11486617,-1719379602
-12683596,-474321288
-11539225,124702194
-15897447,717601273
-1262777,1249717576
-8160228,1268368094
-11492679,-316628015
-13794974,767614276
-1500301,-1501392898
-3950103,1389661573
-15124572,-1621891177
-12648638,1808317457
-5717283,324103905
-7849560,-840947639
-10529966,2104123843
-1975591,1458776750
-8948304,398119032
-8876295,617109554
-11003397,-939484225
-11866704,-424979880
-3805703,-94749017
-1178520,-5966593
-13237926,1385980127
-16569882,-1185434383
-10872171,-614026823
-10950960,1570381777
-962979,1051752702
-4464716,1111402164
-16403782,755765293
-5645265,-573528944
-16374901,649469958
-15744011,1212287982
-5172279,137383630
-13670181,-189388412
-1390788,1094270537
-6228091,-139888116
-15512978,-1719081162
-7560103,1497635110
-14686412,-1268693821
-8312326,-804642775
-10500020,-592819671
-9886746,-259027776
-13442501,-944583578
-1101534,202086897
-655011,-1727357956
-11839905,-1840328046
-7511878,1532428384
-1574951,-1387496295
-4121989,-1022131025
-10369920,244725261
-9503437,-457373439
-13867682,1107914341
-3382616,-1507890649
-8289142,-1725333028
-12552471,1285139813
-3289530,-1268329404
-10473463,-235360163
-13881445,1554981343
-179216,98273951
-12298893,113474276
-7937201,1719490867
-12580746,-717037979
-9726182,2039024553
-11386759,-1126687956
-11871933,105988051
-15100559,948384924
-4989345,-349754295
-15692764,-228248682
-3600922,63241825
-14237999,-473779895
-14658893,1307892568
-16268783,1063393369
-7234319,-183735302
-4986888,1510032757
-15344588,-131859890
-2269297,-962397313
-15537392,-321155763
-6393264,-2055128626
-8716234,1893413772
-15389651,-766482876
-4013751,-119969318
-15332957,1310759024
-2408025,1817606797
-16250551,-144872590
-1514457,-344731218
-9992478,-598958632
-12212698,2052458701
-16578994,708275311
-9024648,-1902202858
-4667688,-628289621
-8345574,-1351865874
-16107642,-374056050
-14425966,-531229834
-10981241,-1797355068
-10526356,981037441
-8654811,855540805
-2905134,724714372
-16460832,-91089600
-8643872,-304317340
-13710814,1022294506
-8195567,-177353379
-10325158,138739471
-13493564,-1402606259
-10949456,-2038219665
-15490879,-191057292
-14447150,1843462663
-2526481,773174770
-11520785,-1439769335
-13590779,1579885650
-8980359,-164596203
-7202007,-406020844
-7044982,-1098501952
-10611501,1390472454
-16556383,384254612
-2345450,1285626847
-16527648,-1253982518
-7465886,935502227
-3651219,-1514627708
-12619949,-1176730261
-1784136,-726989948
-10750255,-1258049475
-13895581,-1418642732
-6558622,1541620275
-5713291,-2086022876
-3818966,1364926628
-5013088,-758923546
-4436045,-1637764579
-16430963,-620763195
-11309691,-364895076
-8611670,-1989963488
-13041269,-1196234202
